spagat
0
63
116
60
115
61
117
45
9
53
10
47
3
46
6
50
1
47
9
44
86
39
81
37
82
36
86
40
82
38
81
35
78
36
84
33
89
34
86
35
83
37
79
35
85
41
82
39
87
32
89
40
81
33
90
34
88
38
83
36
80
38
86
32
75
34
91
33
86
37
89
36
81
41
86
30
87
36
96
22
97
23
96
21
95
23
94
19
52
111
57
113
58
114
56
0
48
4
54
10
43
11
45
16
49
5
55
116
48
8
46
14
43
84
35
89
39
83
42
86
43
12
51
2
66
3
55
110
51
7
49
11
46
2
59
112
56
7
47
16
44
12
41
88
21
97
25
81
32
90
36
77
37
94
34
85
45
8
52
116
61
113
55
6
54
117
64
1
51
10
44
17
93
22
92
34
78
37
84
38
89
41
13
48
10
55
109
53
0
60
113
79
33
95
20
103
69
102
18
43
83
41
9
50
4
58
115
54
7
44
83
28
101
20
39
4
47
116
59
114
62
117
56
5
45
15
42
82
35
16
37
95
22
94
24
97
32
93
33
87
40
83
33
92
35
90
11
110
77
109
75
